journal_ID,journal,journal_full_title,downloaded_articles,missing_abstracts,non_english_articles,usable_articles,final_article_count
0,microbiology,Microbiology,1,0,0,1,1.0
1,diagnostic_and_interventional_imaging,Diagnostic and interventional imaging,1476,948,0,528,528.0
2,eneuro,eNeuro,2112,643,0,1469,1469.0
3,evodevo,EvoDevo,345,74,0,271,271.0
4,geospatial_health,Geospatial health,646,108,0,538,538.0
5,hno,HNO,8346,4530,3803,13,13.0
6,journal_of_medicine_and_life,Journal of medicine and life,1508,264,0,1244,1244.0
7,malacologia,Malacologia,56,29,2,25,25.0
8,mammalia,Mammalia,32,32,0,0,0.0
9,medicina,Medicina,9032,6887,1843,302,302.0
10,medicina,Medicina,9032,6887,1843,302,0.0
11,medicina,Medicina,9032,6887,1843,302,0.0
12,medicina,Medicina,9032,6887,1843,302,0.0
13,medicina,Medicina,9032,6887,1843,302,0.0
14,medicina,Medicina,9032,6887,1843,302,0.0
15,medicina,Medicina,9032,6887,1843,302,0.0
16,medicina,Medicina,9032,6887,1843,302,0.0
17,metals,Metals,2,0,0,2,2.0
18,microbiologyopen,MicrobiologyOpen,1149,694,0,455,455.0
19,neonatal_network_nn,Neonatal network : NN,2201,1155,0,1046,1046.0
20,phytotaxa,Phytotaxa,4,1,0,3,3.0
21,zeitschrift_fur_orthopadie_und_unfallchirurgie,Zeitschrift fur Orthopadie und Unfallchirurgie,1871,1373,489,9,9.0
22,extremes,Extremes,5,2,0,3,3.0
23,interciencia,Interciencia,4,0,2,2,2.0
24,islets,Islets,390,299,0,91,91.0
25,nefrologia,Nefrologia : publicacion oficial de la Sociedad Espanola Nefrologia,3509,2260,1184,65,65.0
26,therapie,Therapie,6995,5124,1451,420,420.0
27,algorithms,Algorithms,9,3,0,6,6.0
28,bioengineered,Bioengineered,2526,1062,0,1464,1464.0
29,chemistryselect,ChemistrySelect,38,20,0,18,18.0
30,journal_of_korean_neurosurgical_society,Journal of Korean Neurosurgical Society,2225,416,0,1809,1809.0
31,journal_of_the_international_phonetic_association,Journal of the International Phonetic Association,3,0,0,3,3.0
32,kolner_zeitschrift_fur_soziologie_und_sozialpsychologie,Kolner Zeitschrift fur Soziologie und Sozialpsychologie,22,14,7,1,1.0
33,post_reproductive_health,Post reproductive health,263,182,0,81,81.0
34,psychiatria_danubina,Psychiatria Danubina,2685,685,53,1947,1947.0
35,psychiatrische_praxis,Psychiatrische Praxis,3136,1372,1760,4,4.0
36,yearbook_of_medical_informatics,Yearbook of medical informatics,807,284,0,523,523.0
37,calcolo,Calcolo,5,2,0,3,3.0
38,cartilage,Cartilage,873,350,0,523,523.0
39,die_rehabilitation,Die Rehabilitation,2120,875,1241,4,4.0
40,erdkunde,Erdkunde,11,4,7,0,0.0
41,hamostaseologie,Hamostaseologie,1056,374,302,380,380.0
42,infor,INFOR,1,0,0,1,1.0
43,j_coll_physicians_surg_pak,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,5989,2018,0,3971,3971.0
44,j_indian_soc_pedod_prev_dent,Journal of the Indian Society of Pedodontics and Preventive Dentistry,1555,303,0,1252,1252.0
45,mobile_dna,Mobile DNA,349,89,0,260,260.0
46,nuclear_receptor_signaling,Nuclear receptor signaling,102,12,0,90,90.0
47,psychologica_belgica,Psychologica Belgica,180,12,0,168,168.0
48,semiotica,Semiotica,1,0,0,1,1.0
49,statistics,Statistics,5,0,0,5,5.0
50,adv_perit_dial,Advances in peritoneal dialysis. Conference on Peritoneal Dialysis,1435,56,0,1379,1379.0
51,b-ent,B-ENT,754,52,0,702,702.0
52,bioacoustics,Bioacoustics,5,0,0,5,5.0
53,der_radiologe,Der Radiologe,6939,2998,3810,131,131.0
54,health_systems_in_transition,Health systems in transition,74,3,0,71,71.0
55,medsurg_nurs,Medsurg nursing : official journal of the Academy of Medical-Surgical Nurses,1688,856,0,832,832.0
56,neurophotonics,Neurophotonics,489,187,0,302,302.0
57,photoacoustics,Photoacoustics,327,136,0,191,191.0
58,yao_xue_xue_bao_=_acta_pharmaceutica_sinica,Yao xue xue bao = Acta pharmaceutica Sinica,7545,2537,4661,347,347.0
59,zentralblatt_fur_chirurgie,Zentralblatt fur Chirurgie,14853,10056,4736,61,61.0
60,annals_of_indian_academy_of_neurology,Annals of Indian Academy of Neurology,2059,1020,0,1039,1039.0
61,aquaculture_environment_interactions,Aquaculture Environment Interactions,1,0,0,1,1.0
62,cancer_radiother,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,2592,559,1666,367,367.0
63,dental_update,Dental update,3249,1438,0,1811,1811.0
64,games_for_health_journal,Games for health journal,591,343,0,248,248.0
65,geochronometria,Geochronometria,1,1,0,0,0.0
66,j_ayub_med_coll_abbottabad,"Journal of Ayub Medical College, Abbottabad : JAMC",3065,589,0,2476,2476.0
67,journal_of_integrative_medicine,Journal of integrative medicine,582,316,0,266,266.0
68,j_int_assoc_provid_aids_care,Journal of the International Association of Providers of AIDS Care,660,157,0,503,503.0
69,journal_of_the_pediatric_infectious_diseases_society,Journal of the Pediatric Infectious Diseases Society,1185,480,0,705,705.0
70,journal_of_the_south_african_veterinary_association,Journal of the South African Veterinary Association,2368,510,83,1775,1775.0
71,progress_in_the_chemistry_of_organic_natural_products,Progress in the chemistry of organic natural products,74,32,0,42,42.0
72,surgical_technology_international,Surgical technology international,1987,327,0,1660,1660.0
73,zeitschrift_fur_soziologie,Zeitschrift fur Soziologie,13,0,13,0,0.0
74,zhonghua_liu_xing_bing_xue_za_zhi,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,7842,4068,3772,2,2.0
75,adicciones,Adicciones,614,315,253,46,46.0
76,annual_review_of_nursing_research,Annual review of nursing research,457,179,0,278,278.0
77,epidemiologia_e_prevenzione,Epidemiologia e prevenzione,2871,1685,1033,153,153.0
78,fly,Fly,537,66,0,471,471.0
79,korean_journal_of_ophthalmology_kjo,Korean journal of ophthalmology : KJO,1729,684,0,1045,1045.0
80,population,Population,118,115,0,3,3.0
81,positivity,Positivity,4,2,0,2,2.0
82,radiography,Radiography,2119,2028,0,91,91.0
83,skin_therapy_letter,Skin therapy letter,371,51,0,320,320.0
84,strabismus,Strabismus,920,421,0,499,499.0
85,transcription,Transcription,385,55,0,330,330.0
86,chemistryopen,ChemistryOpen,1089,679,0,410,410.0
87,continuum,Continuum,113,111,0,2,2.0
