Rank,Title,IsoAbbr,H index,SJR,Country,Region,Coverage,search
1,Nature,Nature,1226,"15,993",United Kingdom,Western Europe,1869-2020,Nature[Journal]
2,Science,Science (1979),1186,"12,556",United States,Northern America,"1880-1881, 1883-2020",Science[Journal]
4,Cell,Cell,776,"26,304",United States,Northern America,1974-2020,Cell[Journal]
5,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A,771,"5,011",United States,Northern America,"1945-1951, 1961-2020",Proceedings of the National Academy of Sciences of the United States of America[Journal]
10,Journal of the American Chemical Society,J Am Chem Soc,612,"7,115",United States,Northern America,1879-2020,Journal of the American Chemical Society[Journal]
11,Circulation,Circulation,607,"7,795",United States,Northern America,1950-2020,Circulation[Journal]
24,Neuron,Neuron,473,"9,612",United States,Northern America,1988-2020,Neuron[Journal]
25,Blood,Blood,465,"5,515",United States,Northern America,1946-2020,Blood[Journal]
34,Journal of the American College of Cardiology,J Am Coll Cardiol,431,"10,315",United States,Northern America,1983-2020,Journal of the American College of Cardiology[Journal]
40,Gastroenterology,Gastroenterology,402,"7,828",United Kingdom,Western Europe,1945-2020,Gastroenterology[Journal]
45,Immunity,Immunity,395,"14,286",United States,Northern America,1994-2020,Immunity[Journal]
55,Biomaterials,Biomaterials,381,"3,209",United Kingdom,Western Europe,1980-2020,Biomaterials[Journal]
66,NeuroImage,Neuroimage,364,"3,259",United States,Northern America,"1970, 1992-2020",NeuroImage[Journal]
67,Neurology,Neurology,364,"2,910",United States,Northern America,1951-2020,Neurology[Journal]
72,Journal of the National Cancer Institute,J Natl Cancer Inst,356,"5,797",United Kingdom,Western Europe,1940-2020,Journal of the National Cancer Institute[Journal]
76,Pediatrics,Pediatrics,345,"2,611",United States,Northern America,1948-2020,Pediatrics[Journal]
79,Oncogene,Oncogene,342,"3,395",United Kingdom,Western Europe,1987-2020,Oncogene[Journal]
94,Diabetes,Diabetes,330,"3,219",United States,Northern America,1952-2020,Diabetes[Journal]
104,Stroke,Stroke,319,"3,397",United States,Northern America,1970-2020,Stroke[Journal]
110,Macromolecules,Macromolecules,313,"1,994",United States,Northern America,1968-2020,Macromolecules[Journal]
116,Cancer,Cancer,304,"3,052",United States,Northern America,1948-2020,Cancer[Journal]
131,Radiology,Radiology,295,"3,118",United States,Northern America,1945-2020,Radiology[Journal]
134,Ecology,Ecology,294,"2,144",United States,Northern America,"1973-1977, 1979-2020",Ecology[Journal]
138,Gut,Gut,293,"8,413",United Kingdom,Western Europe,1960-2020,Gut[Journal]
142,Chest,Chest,289,"2,647",United States,Northern America,1970-2020,Chest[Journal]
159,Carbon,Carbon N Y,279,"2,250",United Kingdom,Western Europe,"1940, 1963-2021",Carbon[Journal]
160,Journal of the American Society of Nephrology : JASN,J Am Soc Nephrol,279,"4,451",United States,Northern America,1990-2020,Journal of the American Society of Nephrology : JASN[Journal]
180,Journal of the Electrochemical Society,J Electrochem Soc,271,"1,258",United States,Northern America,"1948-1960, 1963-2020",Journal of the Electrochemical Society[Journal]
212,Polymer,Polymer (Guildf),259,"0,907",Netherlands,Western Europe,1960-2020,Polymer[Journal]
214,Pain,Pain,258,"2,524",United States,Northern America,1975-2020,Pain[Journal]
216,Endocrinology,Endocrinology,257,"1,674",United States,Northern America,"1932, 1945-2020",Endocrinology[Journal]
226,Spine,Spine (Phila Pa 1976),254,"1,657",United States,Northern America,1976-2020,Spine[Journal]
227,Biochemistry,Biochemistry,253,"1,430",United States,Northern America,1962-2020,Biochemistry[Journal]
234,Annals of the New York Academy of Sciences,Ann N Y Acad Sci,248,"1,712",United States,Northern America,"1879, 1882-1883, 1889-1890, 1892-1894, 1896-1901, 1904-1906, 1908-1909, 1911-1912, 1914-1916, 1918, 1920, 1927, 1929-1933, 1936-1937, 1939-2020",Annals of the New York Academy of Sciences[Journal]
237,Chemosphere,Chemosphere,248,"1,632",United Kingdom,Western Europe,1972-2021,Chemosphere[Journal]
243,Genetics,Genetics,246,"2,792",United States,Northern America,"1945-1951, 1961-2020",Genetics[Journal]
248,Ophthalmology,Ophthalmology,244,"5,028",United States,Northern America,"1958, 1978-2020",Ophthalmology[Journal]
253,Journal of the American Academy of Child and Adolescent Psychiatry,J Am Acad Child Adolesc Psychiatry,243,"3,216",United Kingdom,Western Europe,"1962, 1968, 1970, 1973, 1976, 1979, 1981-1984, 1987-2020",Journal of the American Academy of Child and Adolescent Psychiatry[Journal]
283,Anesthesiology,Anesthesiology,234,"1,874",United States,Northern America,1945-2020,Anesthesiology[Journal]
288,Journal of the American Geriatrics Society,J Am Geriatr Soc,232,"1,992",United Kingdom,Western Europe,1953-2020,Journal of the American Geriatrics Society[Journal]
309,Diabetologia,Diabetologia,227,"3,464",Germany,Western Europe,1965-2020,Diabetologia[Journal]
326,Nanoscale,Nanoscale,224,"2,038",United Kingdom,Western Europe,2009-2020,Nanoscale[Journal]
338,Tetrahedron,Tetrahedron,221,"0,581",United Kingdom,Western Europe,1957-2020,Tetrahedron[Journal]
339,Thorax,Thorax,221,"3,083",United Kingdom,Western Europe,1946-2020,Thorax[Journal]
342,Biomacromolecules,Biomacromolecules,220,"1,689",United States,Northern America,2000-2020,Biomacromolecules[Journal]
344,Neuroscience,Neuroscience,220,"1,297",United Kingdom,Western Europe,1976-2020,Neuroscience[Journal]
366,Geology,Geology,215,"2,609",United States,Northern America,1973-2020,Geology[Journal]
405,Journal of the American Academy of Dermatology,J Am Acad Dermatol,208,"1,965",United States,Northern America,1979-2020,Journal of the American Academy of Dermatology[Journal]
410,Sleep,Sleep,207,"2,222",United States,Northern America,1978-2020,Sleep[Journal]
414,Neuropsychologia,Neuropsychologia,206,"1,439",United Kingdom,Western Europe,1963-2020,Neuropsychologia[Journal]
423,Carcinogenesis,Carcinogenesis,204,"1,688",United Kingdom,Western Europe,1980-2020,Carcinogenesis[Journal]
427,Transplantation,Transplantation,204,"1,450",United States,Northern America,1963-2020,Transplantation[Journal]
430,Nanotechnology,Nanotechnology,203,"0,926",United Kingdom,Western Europe,1990-2020,Nanotechnology[Journal]
441,Bone,Bone,200,"1,346",United States,Northern America,1985-2020,Bone[Journal]
452,Evolution; international journal of organic evolution,Evolution,199,"1,840",United States,Northern America,"1948-1949, 1971-1978, 1980, 1982-2020",Evolution; international journal of organic evolution[Journal]
465,Neurosurgery,Neurosurgery,198,"1,455",United States,Northern America,1977-2020,Neurosurgery[Journal]
469,Bulletin of the American Meteorological Society,Bull Am Meteorol Soc,197,"3,367",United States,Northern America,1972-2020,Bulletin of the American Meteorological Society[Journal]
478,Journal of the American Statistical Association,J Am Stat Assoc,196,"4,976",United Kingdom,Western Europe,1922-2020,Journal of the American Statistical Association[Journal]
479,Psychopharmacology,Psychopharmacology (Berl),196,"1,378",Germany,Western Europe,1959-2020,Psychopharmacology[Journal]
484,Oecologia,Oecologia,195,"1,328",Germany,Western Europe,1968-2020,Oecologia[Journal]
506,Leukemia,Leukemia,192,"4,539",United Kingdom,Western Europe,1987-2020,Leukemia[Journal]
510,Epilepsia,Epilepsia,191,"2,687",United Kingdom,Western Europe,"1909-1915, 1937-1950, 1952-1955, 1959-2020",Epilepsia[Journal]
553,Cognition,Cognition,187,"2,080",Netherlands,Western Europe,"1972-1974, 1976-2020",Cognition[Journal]
579,Desalination,Desalination,184,"1,794",Netherlands,Western Europe,1966-2020,Desalination[Journal]
586,Vaccine,Vaccine,184,"1,585",Netherlands,Western Europe,1983-2020,Vaccine[Journal]
630,Microbiology,Microbiology (N Y),179,"1,019",United Kingdom,Western Europe,1994-2020,Microbiology[Journal]
9199,Microbiology,Microbiology (N Y),35,"0,352",United States,Northern America,1996-2020,Microbiology[Journal]
648,Gene,Gene,177,"0,916",Netherlands,Western Europe,1976-2021,Gene[Journal]
653,Journal of the American College of Surgeons,J Am Coll Surg,177,"2,305",United States,Northern America,1994-2020,Journal of the American College of Surgeons[Journal]
656,Urology,Urology,177,"0,861",United States,Northern America,1973-2020,Urology[Journal]
662,Phytochemistry,Phytochemistry,176,"0,820",United Kingdom,Western Europe,1961-2020,Phytochemistry[Journal]
666,Virology,Virology,176,"1,389",United States,Northern America,"1944, 1955-2020",Virology[Journal]
666,Virology,Virology (Lond),176,"1,389",United States,Northern America,"1944, 1955-2020",Virology[Journal]
674,Psychoneuroendocrinology,Psychoneuroendocrinology,175,"1,955",United Kingdom,Western Europe,1975-2020,Psychoneuroendocrinology[Journal]
690,Cold Spring Harbor perspectives in biology,Cold Spring Harb Perspect Biol,173,"6,011",United States,Northern America,2009-2020,Cold Spring Harbor perspectives in biology[Journal]
691,Epidemiology,Epidemiology (Fairfax),173,"1,901",United States,Northern America,1990-2020,Epidemiology[Journal]
697,Rheumatology,Rheumatology,173,"1,957",United Kingdom,Western Europe,1952-2020,Rheumatology[Journal]
706,Organometallics,Organometallics,172,"1,231",United States,Northern America,1982-2020,Organometallics[Journal]
713,Atherosclerosis,Atherosclerosis,171,"1,554",Ireland,Western Europe,1970-2020,Atherosclerosis[Journal]
724,Journal of the Academy of Nutrition and Dietetics,J Acad Nutr Diet,171,"1,201",United States,Northern America,2012-2020,Journal of the Academy of Nutrition and Dietetics[Journal]
744,Computer,Computer (Long Beach Calif),169,"0,846",United States,Northern America,1970-2020,Computer[Journal]
750,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",Philos Trans A Math Phys Eng Sci,169,"1,074",United Kingdom,Western Europe,"1947, 1969-1971, 1974-1975, 1977-1988, 1991-2020","Philosophical transactions. Series A, Mathematical, physical, and engineering sciences[Journal]"
752,Bulletin of the World Health Organization,Bull World Health Organ,168,"2,459",Switzerland,Western Europe,"1945, 1949-2020",Bulletin of the World Health Organization[Journal]
760,Tectonophysics,Tectonophysics,168,"1,701",Netherlands,Western Europe,1964-2020,Tectonophysics[Journal]
768,Neuropharmacology,Neuropharmacology,167,"1,760",United Kingdom,Western Europe,1962-2020,Neuropharmacology[Journal]
770,Proteomics,Proteomics,167,"1,260",Germany,Western Europe,2001-2020,Proteomics[Journal]
778,Lithos,Lithos,166,"1,899",Netherlands,Western Europe,1968-2020,Lithos[Journal]
784,Geoderma,Geoderma,165,"1,846",Netherlands,Western Europe,1967-2021,Geoderma[Journal]
791,Drugs,Drugs,164,"2,022",United Kingdom,Western Europe,1971-2020,Drugs[Journal]
824,Surgery,Surgery,162,"1,532",United States,Northern America,1937-2020,Surgery[Journal]
14379,Surgery,Surgery,19,"0,195",United Kingdom,Western Europe,2006-2020,Surgery[Journal]
838,Talanta,Talanta,161,"1,181",Netherlands,Western Europe,1958-2021,Talanta[Journal]
853,Toxicology,Toxicology,160,"1,067",Ireland,Western Europe,"1959, 1973-2020",Toxicology[Journal]
874,Electrophoresis,Electrophoresis,158,"0,666",Germany,Western Europe,1980-2020,Electrophoresis[Journal]
881,Planta,Planta,158,"1,253",Germany,Western Europe,"1925-1945, 1947-2020",Planta[Journal]
883,ChemSusChem,ChemSusChem,157,"2,412",Germany,Western Europe,2008-2020,ChemSusChem[Journal]
887,Journal of acquired immune deficiency syndromes (1999),J Acquir Immune Defic Syndr,157,"2,162",United States,Northern America,"1988-1994, 1996-2020",Journal of acquired immune deficiency syndromes (1999)[Journal]
908,Psychophysiology,Psychophysiology,156,"1,661",United Kingdom,Western Europe,1964-2020,Psychophysiology[Journal]
