journalID,journal,search
0,Microbiology (N Y),"""Microbiology""[Journal]"
1,Diagn Interv Imaging,"""Diagnostic and interventional imaging""[Journal]"
2,eNeuro,"""eNeuro""[Journal]"
3,Evodevo,"""EvoDevo""[Journal]"
4,Geospat Health,"""Geospatial health""[Journal]"
5,HNO,"""HNO""[Journal]"
6,J Med Life,"""Journal of medicine and life""[Journal]"
7,Malacologia,"""Malacologia""[Journal]"
8,Mammalia,"""Mammalia""[Journal]"
9,Medicina (B Aires),"""Medicina""[Journal]"
10,Medicina (Madr),"""Medicina""[Journal]"
11,Medicina (Mex),"""Medicina""[Journal]"
12,Medicina,"""Medicina""[Journal]"
13,Medicina (B Aires),"""Medicina""[Journal]"
14,Medicina (Madr),"""Medicina""[Journal]"
15,Medicina (Mex),"""Medicina""[Journal]"
16,Medicina,"""Medicina""[Journal]"
17,Metals (Basel),"""Metals""[Journal]"
18,Microbiologyopen,"""MicrobiologyOpen""[Journal]"
19,Neonatal Netw,"""Neonatal network : NN""[Journal]"
20,Phytotaxa,"""Phytotaxa""[Journal]"
21,Z Orthop Unfall,"""Zeitschrift fur Orthopadie und Unfallchirurgie""[Journal]"
22,Extremes (Boston),"""Extremes""[Journal]"
23,Interciencia,"""Interciencia""[Journal]"
24,Islets,"""Islets""[Journal]"
25,Nefrologia (Engl Ed),"""Nefrologia""[Journal]"
26,Therapie,"""Therapie""[Journal]"
27,Algorithms,"""Algorithms""[Journal]"
28,Bioengineered,"""Bioengineered""[Journal]"
29,ChemistrySelect,"""ChemistrySelect""[Journal]"
30,J Korean Neurosurg Soc,"""Journal of Korean Neurosurgical Society""[Journal]"
31,J Int Phon Assoc,"""Journal of the International Phonetic Association""[Journal]"
32,Kolner Z Soz Sozpsychol,"""Kolner Zeitschrift fur Soziologie und Sozialpsychologie""[Journal]"
33,Post Reprod Health,"""Post reproductive health""[Journal]"
34,Psychiatr Danub,"""Psychiatria Danubina""[Journal]"
35,Psychiatr Prax,"""Psychiatrische Praxis""[Journal]"
36,Yearb Med Inform,"""Yearbook of medical informatics""[Journal]"
37,Calcolo,"""Calcolo""[Journal]"
38,Cartilage,"""Cartilage""[Journal]"
39,Rehabilitation (Stuttg),"""Die Rehabilitation""[Journal]"
40,Erdkunde,"""Erdkunde""[Journal]"
41,Hamostaseologie,"""Hamostaseologie""[Journal]"
42,INFOR,"""INFOR""[Journal]"
43,J Coll Physicians Surg Pak,"""Journal of the College of Physicians and Surgeons--Pakistan : JCPSP""[Journal]"
44,J Indian Soc Pedod Prev Dent,"""Journal of the Indian Society of Pedodontics and Preventive Dentistry""[Journal]"
45,Mob DNA,"""Mobile DNA""[Journal]"
46,Nucl Recept Signal,"""Nuclear receptor signaling""[Journal]"
47,Psychol Belg,"""Psychologica Belgica""[Journal]"
48,Semiotica,"""Semiotica""[Journal]"
49,Statistics (Ber),"""Statistics""[Journal]"
50,Adv Perit Dial,"""Advances in peritoneal dialysis. Conference on Peritoneal Dialysis""[Journal]"
51,B-ENT,"""B-ENT""[Journal]"
52,Bioacoustics,"""Bioacoustics""[Journal]"
53,Radiologe,"""Der Radiologe""[Journal]"
54,Health Syst Transit,"""Health systems in transition""[Journal]"
55,Medsurg Nurs,"""Medsurg nursing : official journal of the Academy of Medical-Surgical Nurses""[Journal]"
56,Neurophotonics,"""Neurophotonics""[Journal]"
57,Photoacoustics,"""Photoacoustics""[Journal]"
58,Yao Xue Xue Bao,"""Yao xue xue bao = Acta pharmaceutica Sinica""[Journal]"
59,Zentralbl Chir,"""Zentralblatt fur Chirurgie""[Journal]"
60,Ann Indian Acad Neurol,"""Annals of Indian Academy of Neurology""[Journal]"
61,Aquac Environ Interact,"""Aquaculture Environment Interactions""[Journal]"
62,Cancer Radiother,"""Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique""[Journal]"
63,Dent Update,"""Dental update""[Journal]"
64,Games Health J,"""Games for health journal""[Journal]"
65,Geochronometria,"""Geochronometria""[Journal]"
66,J Ayub Med Coll Abbottabad,"""Journal of Ayub Medical College, Abbottabad : JAMC""[Journal]"
67,J Integr Med,"""Journal of integrative medicine""[Journal]"
68,J Int Assoc Provid AIDS Care,"""Journal of the International Association of Providers of AIDS Care""[Journal]"
69,J Pediatric Infect Dis Soc,"""Journal of the Pediatric Infectious Diseases Society""[Journal]"
70,J S Afr Vet Assoc,"""Journal of the South African Veterinary Association""[Journal]"
71,Prog Chem Org Nat Prod,"""Progress in the chemistry of organic natural products""[Journal]"
72,Surg Technol Int,"""Surgical technology international""[Journal]"
73,Z Soziol,"""Zeitschrift fur Soziologie""[Journal]"
74,Zhonghua Liu Xing Bing Xue Za Zhi,"""Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi""[Journal]"
75,Adicciones,"""Adicciones""[Journal]"
76,Annu Rev Nurs Res,"""Annual review of nursing research""[Journal]"
77,Epidemiol Prev,"""Epidemiologia e prevenzione""[Journal]"
78,Fly (Austin),"""Fly""[Journal]"
79,Korean J Ophthalmol,"""Korean journal of ophthalmology : KJO""[Journal]"
80,Population (Paris),"""Population""[Journal]"
81,Positivity (Dordr),"""Positivity""[Journal]"
82,Radiography,"""Radiography""[Journal]"
83,Skin Therapy Lett,"""Skin therapy letter""[Journal]"
84,Strabismus,"""Strabismus""[Journal]"
85,Transcription,"""Transcription""[Journal]"
86,ChemistryOpen,"""ChemistryOpen""[Journal]"
87,Continuum (N Y),"""Continuum""[Journal]"
88,Economist (Leiden),"""De Economist""[Journal]"
89,Differences,"""Differences""[Journal]"
90,Int J Older People Nurs,"""International journal of older people nursing""[Journal]"
91,J Am Psychiatr Nurses Assoc,"""Journal of the American Psychiatric Nurses Association""[Journal]"
92,J Indian Inst Sci,"""Journal of the Indian Institute of Science""[Journal]"
93,J Indian Med Assoc,"""Journal of the Indian Medical Association""[Journal]"
94,Metroeconomica,"""Metroeconomica""[Journal]"
95,Neuroethics,"""Neuroethics""[Journal]"
96,Ratio (Oxf),"""Ratio""[Journal]"
97,Sydowia,"""Sydowia""[Journal]"
98,Anatol J Cardiol,"""Anatolian journal of cardiology""[Journal]"
99,Ann GIS,"""Annals of GIS""[Journal]"
100,Biomedicines,"""Biomedicines""[Journal]"
101,Biosocieties,"""BioSocieties""[Journal]"
102,Br J Hosp Med (Lond),"""British journal of hospital medicine (London, England : 2005)""[Journal]"
103,Cytologia (Tokyo),"""Cytologia""[Journal]"
104,Geburtshilfe Frauenheilkd,"""Geburtshilfe und Frauenheilkunde""[Journal]"
105,Glob Health Sci Pract,"""Global health, science and practice""[Journal]"
106,Heliyon,"""Heliyon""[Journal]"
107,Helminthologia,"""Helminthologia""[Journal]"
108,Hippokratia,"""Hippokratia""[Journal]"
109,J Indian Soc Periodontol,"""Journal of Indian Society of Periodontology""[Journal]"
110,Microb Genom,"""Microbial genomics""[Journal]"
111,Nurs Leadersh (Tor Ont),"""Nursing leadership (Toronto, Ont.)""[Journal]"
112,Oper Orthop Traumatol,"""Operative Orthopadie und Traumatologie""[Journal]"
113,Proc Entomol Soc Wash,"""Proceedings of the Entomological Society of Washington""[Journal]"
114,Rev Esc Enferm USP,"""Revista da Escola de Enfermagem da U S P""[Journal]"
115,Schweiz Arch Tierheilkd,"""Schweizer Archiv fur Tierheilkunde""[Journal]"
116,Sens Biosensing Res,"""Sensing and Bio-Sensing Research""[Journal]"
117,Shokuhin Eiseigaku Zasshi,"""Shokuhin eiseigaku zasshi. Journal of the Food Hygienic Society of Japan""[Journal]"
118,Virol Sin,"""Virologica Sinica""[Journal]"
119,Z Evid Fortbild Qual Gesundhwes,"""Zeitschrift fur Evidenz, Fortbildung und Qualitat im Gesundheitswesen""[Journal]"
120,Z Psychosom Med Psychother,"""Zeitschrift fur Psychosomatische Medizin und Psychotherapie""[Journal]"
121,Argumentation,"""Argumentation""[Journal]"
122,Bull Malays Math Sci Soc,"""Bulletin of the Malaysian Mathematical Sciences Society""[Journal]"
123,Cytojournal,"""CytoJournal""[Journal]"
124,Endokrynol Pol,"""Endokrynologia Polska""[Journal]"
125,HERD,"""HERD""[Journal]"
126,Hum Gene Ther Methods,"""Human gene therapy methods""[Journal]"
127,iScience,"""iScience""[Journal]"
128,J Healthc Qual,"""Journal for healthcare quality : official publication of the National Association for Healthcare Quality""[Journal]"
129,J Clin Exp Hematop,"""Journal of clinical and experimental hematopathology : JCEH""[Journal]"
130,J R Army Med Corps,"""Journal of the Royal Army Medical Corps""[Journal]"
131,Meta,"""Meta""[Journal]"
132,Nano,"""Nano""[Journal]"
133,Oceanology (Wash D C),"""Oceanology""[Journal]"
134,Osiris,"""Osiris""[Journal]"
135,Physiother Can,"""Physiotherapy Canada. Physiotherapie Canada""[Journal]"
136,Sucht,"""Sucht""[Journal]"
137,Trans R Hist Soc,"""Transactions of the Royal Historical Society""[Journal]"
138,Zhonghua Yi Xue Za Zhi,"""Zhonghua yi xue za zhi""[Journal]"
139,Zhonghua Yi Xue Za Zhi,"""Zhonghua yi xue za zhi""[Journal]"
140,Acta Medica (Hradec Kralove),"""Acta medica (Hradec Kralove)""[Journal]"
141,Anasthesiol Intensivmed Notfallmed Schmerzther,"""Anasthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS""[Journal]"
142,Archivaria,"""Archivaria""[Journal]"
143,Cilia,"""Cilia""[Journal]"
144,Pathologe,"""Der Pathologe""[Journal]"
145,Endeavour,"""Endeavour""[Journal]"
146,Home Healthc Now,"""Home healthcare now""[Journal]"
147,Indian J Public Health,"""Indian journal of public health""[Journal]"
148,Iperception,"""i-Perception""[Journal]"
149,J R Soc West Aust,"""Journal of the Royal Society of Western Australia""[Journal]"
150,J Visc Surg,"""Journal of visceral surgery""[Journal]"
151,Nurs Times,"""Nursing times""[Journal]"
152,Orbis,"""Orbis""[Journal]"
153,Polimery,"""Polimery""[Journal]"
154,Polity,"""Polity""[Journal]"
155,Screen (London),"""Screen""[Journal]"
156,Skinmed,"""Skinmed""[Journal]"
157,Zhonghua Yu Fang Yi Xue Za Zhi,"""Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine]""[Journal]"
158,Zoosystema,"""Zoosystema""[Journal]"
